name,slug,category,category_emoji,type,typology,tags,rarity,condition,condition_detail,price,price_floor,price_optimistic,in_use,available,image_url,notes
"Kowka SOL","kowka-sol","overdrive","🟠","Clean OD / OD","Original","Boutique Chileno|Doble|Stackeable|Dos Canales","","MINT","Con caja",75000,50000,90000,false,true,"","Original. Boutique chileno. Dos overdrives stackeables. Entrada para mini footswitch (no incluido)."
"CKK Electronics Honey Jar","ckk-electronics-honey-jar","overdrive","🟠","Clean OD / OD","Tube Screamer","Boutique|Handwired|NOS|Tube Screamer|Switch de Ganancia","🔷","MINT","Con caja",120000,100000,150000,false,true,"","Tube Screamer. Boutique. Reproducción del TS808 con switch de ganancia."
"Mooer Blues Crab","mooer-blues-crab","overdrive","🟠","Clean OD / OD","Bluesbreaker","Mini|Clon|Bluesbreaker|Baja Ganancia","","MINT","Con caja",35000,30000,45000,false,true,"","Bluesbreaker. Clon del Marshall Bluesbreaker."
"Joyo Vintage Overdrive","joyo-vintage-overdrive","overdrive","🟠","Clean OD / OD","Tube Screamer","Mini|Tube Screamer|Clásico|Mid-Hump","","MINT","Con caja",25000,20000,35000,false,true,"","Tube Screamer. Pedal mini."
"NUX Tubeman","nux-tubeman","overdrive","🟠","Clean OD / OD","Tube Screamer","Mini|Tube Screamer|Media Ganancia","","MINT","Con caja",35000,30000,40000,false,true,"","Tube Screamer. Pedal mini."
"Mosky Golden Horse","mosky-golden-horse","overdrive","🟠","Clean OD / OD","Klon Centaur","Mini|Clon|Klon|Clean Boost|Transparente","","MINT","Con caja",25000,20000,35000,false,true,"","Klon Centaur. Clon del Klon."
"Caline Pure Sky","caline-pure-sky","overdrive","🟠","Clean OD / OD","Timmy","Clon|Timmy|Transparente|EQ Graves|EQ Agudos","","MINT","Con caja",25000,20000,35000,false,true,"","Timmy. Clon del Timmy."
"Joyo American Sound","joyo-american-sound","preamp","🟢","Amp Sim / Preamp","Tech 21 Blonde","Amp Sim|Preamp|Fender Style|EQ 3 Bandas","","MINT","",30000,25000,40000,false,true,"","Tech 21 Blonde. Simulación de amplificador basada en el Tech 21 Blonde."
"Fulltone OCD V2.0","fulltone-ocd-v2","distorsion","🔴","OD / Dist","OCD","Boutique|Amplifier-like|Alta Dinámica|Media Ganancia|High Gain","🔹","Detalles estéticos","",150000,130000,180000,false,true,"","OCD. Boutique. Última versión."
"T-Rex Mudhoney II","t-rex-mudhoney-ii","distorsion","🔴","Dist","RAT","Doble|Dos Canales|RAT|Boost Independiente|High Gain","","MINT","Con caja",130000,100000,150000,false,true,"","RAT. Dos canales idénticos con boost independiente."
"Revv G4","revv-g4","distorsion","🔴","Amp-in-a-Box","Revv Purple Channel","Boutique|Amp-in-a-Box|High Gain|EQ 3 Bandas","🔹","MINT","",180000,150000,200000,false,true,"","Revv Purple Channel. Boutique. Desde blues hasta metal moderno."
"Boss ML-2 Metal Core","boss-ml-2-metal-core","distorsion","🔴","Dist","Original","High Gain|Metal|EQ Activo","","MINT","Con caja",70000,50000,90000,false,true,"","Original. Distorsión de alta ganancia."
"Pedal Pawn Texan Twang","pedal-pawn-texan-twang","fuzz","🟣","Fuzz / Treble Booster","Texas Ranger","Boutique|Treble Booster|Clásico César Díaz","🔷","MINT","Con caja",210000,180000,240000,false,true,"","Texas Ranger. Boutique. La mejor reproducción del Texas Ranger de César Díaz."
"Pedal Pawn Texan Twang (Uso actual)","pedal-pawn-texan-twang-uso-actual","fuzz","🟣","Fuzz / Treble Booster","Texas Ranger","Boutique|Treble Booster|Clásico César Díaz","🔷","MINT","Con caja",210000,180000,240000,true,true,"","Texas Ranger. Boutique. Segunda unidad."
"Trooper Electronics Texas Transit","trooper-electronics-texas-transit","fuzz","🟣","Fuzz / Treble Booster","Texan Twang / Texas Ranger","Boutique|Handwired|Treble Booster","🔷","MINT","Con caja",170000,150000,190000,false,true,"","Texan Twang / Texas Ranger. Boutique. Clon del Pedal Pawn Texan Twang."
"Pedal Pawn Fuzz (Uso actual)","pedal-pawn-fuzz-uso-actual","fuzz","🟣","Fuzz","Square Face (César Díaz)","Boutique|Fuzz Face|Silicio","🔷","MINT","Con caja",210000,180000,240000,true,true,"","Square Face (César Díaz). Boutique. Fuzz Face de silicio modificado."
"Fulltone Octafuzz (2012)","fulltone-octafuzz-2012","fuzz","🟣","Fuzz / Octavia","Octavia","Boutique|Handwired|Octavia","💎","MINT","",180000,150000,250000,false,true,"","Octavia. Boutique. Raro. Handwired de transición firmado por Mike Fuller."
"Mad Professor Fire Red Fuzz","mad-professor-fire-red-fuzz","fuzz","🟣","OD / Dist / Fuzz","Original","Boutique|Amplifier-like|High Gain","🔹","MINT","",90000,70000,110000,false,true,"","Original. Fuzz moderno de amplio rango."
"La Forja Big Muff","la-forja-big-muff","fuzz","🟣","Fuzz","Big Muff","Boutique Chileno|Big Muff","","MINT","",70000,50000,0,false,true,"","Big Muff. Boutique chileno. Clásico Big Muff."
"Dolamo Fuzz","dolamo-fuzz","fuzz","🟣","Fuzz","Superfuzz / Big Muff / Octafuzz","Mini|Clon","","MINT","Con caja",25000,20000,35000,false,true,"","Superfuzz / Big Muff / Octafuzz. Gran variedad de fuzz extremo."
"La Forja The Fall","la-forja-the-fall","fuzz","🟣","Fuzz","PTD Mini Bone","Boutique Chileno|Germanio|Silicio","","MINT","",70000,50000,90000,false,true,"","PTD Mini Bone. Boutique chileno. Clon con opciones Si/Ge."
"Warm Audio Foxy Tone Box (Uso actual)","warm-audio-foxy-tone-box-uso-actual","fuzz","🟣","Fuzz","Foxx Tone Machine","Boutique|Octavia","","MINT","Con caja",100000,100000,100000,true,true,"","Foxx Tone Machine. Reproducción exacta del clásico Foxx Tone Machine."
"Ibanez PT9 (Maxon Japón)","ibanez-pt9-maxon-japon","modulacion","🟦","Phaser","Phase 9","Vintage|Analógico|Japón","💎","Buen estado","",170000,150000,230000,false,true,"","Phase 9. Vintage japonés de los años 80. Difícil de encontrar en buen estado."
"MXR Phase 90","mxr-phase-90","modulacion","🟦","Phaser","Phase 90","Analógico|Clásico","","MINT","",70000,50000,90000,false,true,"","Phase 90. Phaser clásico."
"MXR Analog Chorus","mxr-analog-chorus","modulacion","🟦","Chorus","Original","Analógico|Stereo","","MINT","",90000,70000,110000,false,true,"","Original. Chorus estéreo con controles Low Cut y High Cut."
"Digitech Dirty Robot","digitech-dirty-robot","modulacion","🟦","Synth","Original","Digital|Sintetizador","","MINT","",130000,100000,150000,false,true,"","Original. Sintetizador para guitarra con múltiples voces."
"Subdecay Prometheus","subdecay-prometheus","modulacion","🟦","Envelope Filter","Mu-Tron III","Boutique|Handwired|Analógico|Envelope Filter","🔷","MINT","Con caja",150000,130000,180000,false,true,"","Mu-Tron III. Boutique. Envelope Filter handwired con amplias opciones de control."
"Boss DM-2W","boss-dm-2w","delay-reverb","🟡","Delay","Analog / Bucket Brigade (DM-2)","Analógico|Bucket Brigade|Clásico","💎","MINT","",190000,180000,230000,false,true,"","Analog / Bucket Brigade (DM-2). Pedal de colección. Difícil de conseguir en excelente estado."
"Catalinbread Belle Epoch Deluxe","catalinbread-belle-epoch-deluxe","delay-reverb","🟡","Delay / Preamp","Tape Echo (Echoplex EP-3)","Boutique|Analógico|Preamp","🔹","MINT","Con caja",240000,200000,280000,false,true,"","Tape Echo (Echoplex EP-3). Boutique. No se vende en Chile. Reproducción del Echoplex EP-3 con preamp analógico."
"Keeley Eccos","keeley-eccos","delay-reverb","🟡","Delay / Looper","Tape Echo","Boutique|Stereo|Digital|Looper","","MINT","Con caja",180000,150000,230000,false,true,"","Tape Echo. Boutique. Delay estéreo con presets y looper."
"Line 6 DL4 MkII (Uso actual)","line-6-dl4-mkii-uso-actual","delay-reverb","🟡","Delay / Looper","Modelador de Delays","Stereo|Digital|Looper|Modelador","","MINT","Con caja",280000,250000,320000,true,true,"","Modelador de Delays. Gran variedad de delays y looper integrado."
"Digitech Polara","digitech-polara","delay-reverb","🟡","Reverb","Lexicon","Stereo|Digital|Lexicon","","MINT","",180000,150000,220000,false,true,"","Lexicon. Reverb estéreo con siete algoritmos."
"Digitech Whammy V","digitech-whammy-v","pitch-wah","🟤","Pitch / Expresión","Whammy","Digital|Pitch Shifter|Pedal de Expresión","","Marcas de uso","Con fuente",190000,160000,230000,false,true,"","Whammy. Pitch shifter y pedal de expresión."
"Vox V846-HW","vox-v846-hw","pitch-wah","🟤","Wah","Vox Vintage Wah","Boutique|Handwired|Wah Vintage","🔷","Marcas de uso","",170000,150000,200000,false,true,"","Vox Vintage Wah. Boutique. Versión handwired. Funciona únicamente con batería de 9V."
"RMC Real McCoy Wah","rmc-real-mccoy-wah","pitch-wah","🟤","Wah","Clyde McCoy","Boutique|Wah Vintage","💎","MINT","Con caja",260000,230000,300000,false,true,"","Clyde McCoy. Boutique. Raro. Uno de los wah más buscados. Funciona únicamente con batería de 9V."
"Line 6 HX Stomp (Uso actual)","line-6-hx-stomp-uso-actual","multi-fx","⚫","Multi FX / Amp Sim","HX Stomp","Multi FX|Amp Sim|Stereo|Modelador|IR Loader|USB Audio","","MINT","Con caja, Sin transformador",550000,450000,600000,true,true,"","HX Stomp. Procesador de efectos y simulador de amplificadores."
"ISP Decimator G String II","isp-decimator-g-string-ii","multi-fx","⚫","Noise Gate","Original","Noise Gate|Loop de Efectos","🔹","MINT","Con caja",160000,130000,190000,false,true,"","Original. Noise Gate con loop dedicado (G-String)."
"Hotone Xtomp XP20","hotone-xtomp-xp20","multi-fx","⚫","Multi FX","Programable","Multi FX|Bluetooth|Programable","","MINT","",80000,65000,95000,false,true,"","Programable. Más de 150 efectos programables por Bluetooth."
"Fender ABY","fender-aby","multi-fx","⚫","ABY Switch","Original","ABY|Selector Pasivo","","MINT","",60000,50000,70000,false,true,"","Original. Selector pasivo A/B/Y."
"Korg Pitchblack Mini","korg-pitchblack-mini","multi-fx","⚫","Afinador","Original","Afinador|Mini","","MINT","",60000,50000,70000,false,true,"","Original. Afinador cromático compacto."
